S1,S2,S3,S4,S5,S6,S7,S8,time
4.262,5.229,1.149,9.125,2.248,5.035,2.858,3.896,0.828125
3.286,7.67,-2.268,1.801,1.76,3.082,1.394,0.966,0.83203125
5.727,10.111,1.638,-1.617,4.201,4.059,0.905,-1.475,0.8359375
10.61,12.065,10.427,-0.153,7.619,6.012,2.37,-3.428,0.83984375
14.516,12.553,18.728,4.73,10.549,6.989,3.835,-2.452,0.84375
14.028,9.135,21.169,9.613,10.549,6.5,4.812,1.943,0.84765625
9.633,3.764,17.263,11.078,7.131,6.012,4.323,7.314,0.8515625
5.727,-0.142,10.915,9.125,2.736,5.524,3.835,10.732,0.85546875
4.262,-0.631,7.009,5.707,0.295,6.012,2.858,10.244,0.859375
5.727,2.787,8.962,2.777,0.295,5.035,1.882,7.314,0.86328125
7.192,6.694,13.357,0.336,2.248,3.082,1.394,3.408,0.8671875
7.192,8.647,15.798,-3.082,5.666,0.641,1.394,0.966,0.87109375
5.727,8.158,12.38,-6.012,7.131,0.641,2.37,-0.498,0.875
4.751,6.694,5.544,-6.5,7.131,3.571,3.347,-1.475,0.87890625
6.704,6.205,0.173,-2.106,5.178,6.989,3.347,-2.94,0.8828125
10.61,6.694,1.149,5.219,3.225,8.942,2.858,-3.916,0.88671875
13.051,6.694,7.009,10.101,2.248,8.453,1.882,-2.94,0.890625
13.051,5.229,13.357,7.66,3.225,5.524,1.394,-0.01,0.89453125
9.633,2.787,16.286,-1.129,4.201,2.106,1.394,3.408,0.8984375
6.704,3.276,15.31,-9.43,5.666,0.153,1.394,5.361,0.90234375
6.704,6.694,13.845,-10.406,6.154,-1.312,1.394,3.896,0.90625
8.657,10.6,15.31,-2.106,4.201,-3.265,0.417,0.966,0.91015625
10.61,11.576,18.239,10.101,2.248,-4.242,-0.559,-0.987,0.9140625
9.145,7.182,18.728,17.914,0.295,-2.777,-1.048,-0.987,0.91796875
4.751,-0.142,14.821,15.961,-0.682,1.129,-1.536,0.478,0.921875
-0.132,-5.514,7.497,7.172,0.295,6.012,-1.048,0.966,0.92578125
-2.574,-5.025,2.126,-2.106,1.76,7.965,-1.048,-0.987,0.9296875
-1.109,1.322,2.126,-6.5,3.225,6.012,-2.024,-4.893,0.93359375
2.309,8.158,6.521,-5.524,3.713,0.153,-3.001,-6.358,0.9375
6.215,11.088,11.403,-4.059,4.201,-4.242,-3.001,-4.893,0.94140625
8.657,9.623,13.357,-3.571,3.225,-4.242,-2.024,-0.498,0.9453125
10.61,5.717,13.357,-3.082,2.248,0.153,-0.559,3.408,0.94921875
12.075,3.764,14.333,0.336,0.295,5.524,0.417,3.408,0.953125
12.563,7.182,16.774,8.148,-1.17,6.989,0.417,-0.498,0.95703125
10.61,12.065,19.216,16.449,-1.658,4.059,-0.559,-4.893,0.9609375
8.169,15.483,17.751,20.355,0.295,-0.336,-1.048,-5.87,0.96484375
4.751,12.553,10.915,16.937,2.736,-2.777,-0.071,-1.963,0.96875
2.797,5.229,2.126,7.66,4.201,-0.824,0.905,3.896,0.97265625
2.797,-2.584,-4.222,-2.594,3.713,3.571,1.394,8.779,0.9765625
3.286,-6.49,-4.71,-9.43,1.272,5.035,0.905,8.779,0.98046875
3.774,-4.049,0.661,-10.406,-0.682,4.059,0.417,5.361,0.984375
4.262,2.787,7.009,-7.477,-0.193,2.106,0.417,-0.01,0.98828125
5.727,9.623,11.403,-1.617,3.225,1.617,1.394,-4.405,0.9921875
8.169,13.041,12.868,4.242,7.619,4.059,3.347,-5.381,0.99609375
